"","tried_influence","attend_rally","work_party","wear_button","give_money_party","campaign_participation","discuss","give_money_campaign","volunteer","community_work","community_meeting","vote_in_primary","trust_others","satisfied_life","understand_issues","too_complicated","age","hisp","empl","own_home","married","class_conscious","PARTY_ID","better_off_econ1","STATEFIPS","money_stocks","born_again","college","black","female","inc_firstthird","inc_upperthird","lgbt","middleclass","jewish","catholic","protestant","nonreligious","knowl","str_PARTY","agesq","Consistency","Extremity","ideo_ext","ideo_label","ideo_score","Position","year","respondent","unique_id","wt1","wt2","wt3","complete_pre","complete_post","census_region","Action_Score"
"3",1,1,1,1,1,0,0,0,2,1,0,2,0,0,1,1,60,0,6,0,0,1,"7",5,"28",0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,3600,0.443077478786152,0.730243573853133,0,"moderate",-2.64943952801657,-0.730243573853133,"2008",111,20080111,0.3483,0.3483,0.3483,1,1,"4",10
"4",1,1,1,1,1,0,0,0,2,0,0,2,1,1,1,0,68,0,5,1,1,1,"7",3,"9",1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,4624,0.531730929000942,0.190685006527061,0,"moderate",2.01132276573564,0.190685006527061,"2008",1113,20081113,1.1925,1.1925,1.1925,1,1,"2",9
"5",1,1,1,1,1,0,1,0,2,0,0,2,0,0,0,0,44,0,1,1,1,1,"4",4,"36",1,2,1,0,1,0,1,0,1,0,1,0,0,0,0,1936,0.485230390011162,1.28605935790821,0,"moderate",-5.46238865760789,-1.28605935790821,"2016",3591,20163591,1.532,1.532,1.532,1,1,"2",10
"6",0,1,1,1,1,1,0,0,2,0,0,2,0,1,0,1,51,1,7,1,1,1,"2",4,"4",0,2,1,0,1,0,0,0,0,0,1,0,0,1,1,2601,0.565682687628162,1.02707768517862,0,"moderate",6.24425411619959,1.02707768517862,"2016",3592,20163592,1.528,1.528,1.528,1,1,"2",9
"7",0,1,1,1,1,1,1,0,2,0,0,2,1,1,0,1,73,0,5,1,1,1,"4",4,"17",1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,5329,0.616280847144243,0.616823171612535,0,"moderate",4.16798152741635,0.616823171612535,"2016",3593,20163593,0.669,0.669,0.669,1,1,"1",10
"8",1,1,1,1,1,0,1,0,1,0,0,2,1,1,1,0,60,0,7,1,1,0,"1",1,"45",0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,3600,0.656526722580464,0.354581115896489,0,"moderate",-0.74823518218144,-0.354581115896489,"2016",3594,20163594,0.869,0.869,0.869,1,1,"3",9
"9",1,1,1,1,1,0,0,0,2,0,0,2,0,1,1,0,63,0,5,1,0,1,"1",4,"42",0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,3969,0.494901998665494,0.992801180549452,0,"moderate",-3.97822725303519,-0.992801180549452,"2016",3595,20163595,0.92,0.92,0.92,1,1,"3",9
"11",0,1,1,1,1,1,1,0,2,1,0,1,1,1,1,0,49,0,1,0,1,0,"7",3,"29",0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,2401,0.409687916772734,0.735967373327254,0,"moderate",-2.6784073213225,-0.735967373327254,"2016",3597,20163597,1.226,1.226,1.226,1,1,"3",10
"12",0,1,1,1,0,2,0,1,2,0,1,1,1,1,0,0,73,0,5,0,1,1,"4",2,"42",1,2,1,1,0,0,1,0,0,0,1,0,0,1,0,5329,0.45721781521,1.33422634991337,1,"right",7.79871441384946,1.33422634991337,"2016",3598,20163598,1.389,1.389,1.389,1,1,"1",10
"13",1,1,1,1,1,0,1,0,2,0,0,2,1,1,0,0,23,0,8,0,0,0,"1",1,"42",1,2,1,1,1,1,0,0,1,0,0,1,0,1,1,529,0.588070979714485,0.538798792111707,0,"moderate",3.77310499331993,0.538798792111707,"2016",3599,20163599,0.768,0.768,0.768,1,1,"1",10
"15",1,1,1,1,0,1,1,0,1,1,1,2,1,0,0,0,28,0,7,1,0,0,"4",4,"22",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,784,0.409779033076314,0.130833594222818,0,"moderate",1.70841848885863,0.130833594222818,"2008",1114,20081114,2.4612,2.4612,2.4612,1,1,"2",11
"17",0,1,1,1,1,1,1,0,1,0,0,2,1,1,0,0,59,0,5,1,1,1,"4",2,"55",1,2,1,0,1,0,1,0,1,0,1,0,0,1,0,3481,0.485919402573305,0.536552814915009,0,"moderate",-1.66918263824302,-0.536552814915009,"2016",3603,20163603,0.742,0.742,0.742,1,1,"3",9
"18",0,1,1,0,1,2,1,0,1,0,0,1,0,1,0,0,36,0,1,0,0,1,"1",5,"17",0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1296,0.488553621554094,0.197706701092768,0,"moderate",0.0456964786969509,-0.197706701092768,"2016",3604,20163604,2.102,2.102,2.102,1,1,"3",8
"19",1,1,1,1,1,0,1,0,2,0,0,2,0,1,1,1,53,0,2,1,0,0,"1",2,"6",0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2809,0.458615199111846,1.15586331156482,0,"moderate",6.89603016509824,1.15586331156482,"2016",3605,20163605,3.364,3.364,3.364,1,1,"2",10
"20",1,1,1,1,1,0,1,0,2,0,0,2,1,1,1,1,28,0,1,1,1,1,"2",2,"39",0,2,1,0,0,0,1,0,1,0,0,1,0,1,1,784,0.501477099979188,1.25374803006046,0,"moderate",-5.29886303607523,-1.25374803006046,"2016",3606,20163606,0.685,0.685,0.685,1,1,"1",10
"22",1,1,1,1,0,1,1,1,2,1,0,2,1,0,0,0,52,1,6,1,1,1,"1",4,"6",0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2704,0.411803287835924,2.12556695534918,1,"right",11.8036400225298,2.12556695534918,"2016",3608,20163608,0.524,0.524,0.524,1,1,"3",12
"23",0,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,29,0,1,0,0,0,"7",2,"47",0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,841,0.471402275466275,1.50054640925282,1,"right",8.64044989451389,1.50054640925282,"2016",3609,20163609,0.372,0.372,0.372,1,1,"2",11
"24",1,1,1,1,1,0,1,0,2,0,0,1,0,1,0,0,62,1,5,1,1,1,"3",2,"48",0,2,0,0,1,1,0,0,1,0,1,0,0,0,0,3844,0.44624525676216,0.183618980646397,0,"moderate",0.116993556081887,-0.183618980646397,"2016",3610,20163610,0.71,0.71,0.71,1,1,"3",9
"26",1,0,1,0,0,3,1,1,2,1,1,1,0,1,0,1,62,0,1,1,1,1,"4",4,"26",0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3844,0.399244390994211,0.231886670430973,0,"moderate",-0.127286221250687,-0.231886670430973,"2008",1115,20081115,0.7079,0.7079,0.7079,1,1,"2",12
"27",1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,65,0,5,1,1,1,"5",4,"9",1,2,1,0,1,0,1,0,1,0,0,1,0,1,0,4225,0.62899983728782,0.180440140204073,0,"moderate",0.133081469940881,-0.180440140204073,"2016",3613,20163613,0.395,0.395,0.395,1,1,"4",7
"28",1,1,1,1,1,0,0,0,2,0,0,2,0,1,1,0,43,1,1,0,1,0,"2",2,"6",1,2,1,0,0,0,1,1,1,0,1,0,0,0,1,1849,0.411005682955047,1.45547893858306,1,"right",8.41236622717273,1.45547893858306,"2016",3614,20163614,0.387,0.387,0.387,1,1,"1",9
"29",0,0,1,0,1,3,0,0,1,0,0,2,0,0,1,0,67,0,5,1,1,1,"4",5,"36",0,2,1,0,0,1,0,0,1,0,0,1,0,1,0,4489,0.460180696135201,1.12077083637115,0,"moderate",-4.62587372563351,-1.12077083637115,"2016",3616,20163616,1.552,1.552,1.552,1,1,"2",8
"30",0,1,1,1,1,1,1,0,1,0,0,2,1,1,1,0,35,0,1,1,0,1,"3",2,"47",1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1225,0.369857458787019,0.0665578147732137,0,"moderate",1.38312276490947,0.0665578147732137,"2016",3618,20163618,0.718,0.718,0.718,1,1,"3",9
"32",0,1,1,1,1,1,1,0,2,0,0,2,0,1,0,0,37,0,6,0,0,0,"2",4,"17",0,2,0,1,0,1,0,0,0,0,0,1,0,0,1,1369,0.503163649578588,1.91648997120591,1,"left",-8.652958799401,-1.91648997120591,"2016",3620,20163620,0.748,0.748,0.748,1,1,"3",10
"34",1,1,1,1,1,0,1,0,2,0,0,2,0,1,0,0,39,0,1,0,0,1,"2",4,"37",0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1521,0.482463666575849,0.951842455918732,0,"moderate",-3.77093769396837,-0.951842455918732,"2016",3623,20163623,0.796,0.796,0.796,1,1,"4",10
"36",1,1,1,1,1,0,1,0,2,0,0,2,0,1,0,0,42,0,5,1,1,0,"5",4,"1",0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1764,0.407514764065404,0.182534755832863,0,"moderate",0.122480750459962,-0.182534755832863,"2016",3626,20163626,0.811,0.811,0.811,1,1,"4",10
"37",1,1,1,1,1,0,1,0,2,0,0,2,0,1,1,1,51,0,1,0,0,1,"4",4,"17",1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,2601,0.537196536530841,0.431455815815673,0,"moderate",-1.13729325938753,-0.431455815815673,"2008",1116,20081116,1.4297,1.4297,1.4297,1,1,"2",10
"38",0,1,1,1,1,1,1,0,2,0,0,2,1,1,0,0,25,1,4,0,0,1,"1",2,"13",0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,625,0.38364373792083,0.0837509900207406,0,"moderate",0.622419248124911,-0.0837509900207406,"2016",3627,20163627,0.754,0.754,0.754,1,1,"1",10
"39",0,1,1,1,1,1,1,0,1,0,0,2,0,0,0,0,44,0,8,0,0,0,"3",5,"37",0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1936,0.485680916482349,0.713739695963707,0,"moderate",4.65847003212861,0.713739695963707,"2016",3628,20163628,0.413,0.413,0.413,1,1,"3",9
"40",1,0,1,1,1,1,1,0,1,1,1,2,1,1,0,1,69,0,1,1,1,1,"3",2,"32",1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,4761,0.497224575658872,0.427630639068534,0,"moderate",3.21048988178132,0.427630639068534,"2016",3629,20163629,0.544,0.544,0.544,1,1,"3",11
"42",1,1,1,1,1,0,0,0,2,0,0,2,1,1,1,0,60,0,6,1,0,1,"4",3,"4",0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,3600,0.636427333581265,1.23548397903808,0,"moderate",-5.20642980927588,-1.23548397903808,"2016",3631,20163631,1.989,1.989,1.989,1,1,"3",9
"43",1,1,1,1,1,0,1,0,2,1,1,2,1,1,0,1,31,0,7,1,1,1,"4",2,"19",1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,961,0.412430643710009,0.951768331238315,0,"moderate",-3.7705625535689,-0.951768331238315,"2016",3632,20163632,3.179,3.179,3.179,1,1,"4",12
"45",1,1,1,1,0,1,1,1,2,0,0,1,0,0,1,0,72,0,5,1,0,1,"7",5,"6",0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,5184,0.427974471701506,0.730363154439683,0,"moderate",4.74260032204164,0.730363154439683,"2016",3634,20163634,1.929,1.929,1.929,1,1,"3",10
"46",0,1,1,1,1,1,1,0,1,1,1,2,0,1,1,0,50,0,1,0,0,1,"1",5,"17",0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,2500,0.365993822325856,0.960943868049536,0,"moderate",-3.81699937495306,-0.960943868049536,"2016",3636,20163636,0.464,0.464,0.464,1,1,"3",11
"48",1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,74,0,7,0,1,0,"7",5,"17",0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,5476,0.420694228975751,1.05565224318229,0,"moderate",-4.29631257374534,-1.05565224318229,"2008",1117,20081117,2.4554,2.4554,2.4554,1,1,"2",10
"51",0,0,1,0,1,3,1,0,1,0,0,1,0,1,0,0,52,0,1,0,0,0,"6",2,"46",0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,2704,0.46209361209795,1.10123834501981,0,"moderate",6.61957660529523,1.10123834501981,"2016",3642,20163642,0.592,0.592,0.592,1,1,"2",8
"52",0,1,1,1,1,1,1,0,2,0,0,1,0,1,0,0,23,1,8,0,0,0,"4",4,"48",0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,529,0.533983689152089,0.745126564485851,0,"moderate",4.81731702248542,0.745126564485851,"2016",3643,20163643,1.543,1.543,1.543,1,1,"3",9
"57",0,1,1,1,1,1,1,0,2,0,0,2,1,1,1,0,57,0,1,1,1,1,"7",2,"19",1,2,1,0,0,0,1,0,1,0,1,0,0,1,1,3249,0.524802358020244,1.61359019371494,1,"right",9.21255746006106,1.61359019371494,"2016",3648,20163648,0.346,0.346,0.346,1,1,"3",10
"58",0,1,1,1,1,1,1,0,1,1,1,2,1,1,0,0,56,0,1,1,1,1,"1",2,"19",1,2,1,0,0,0,0,0,1,0,0,1,0,1,1,3136,0.419520113984827,1.42284050621336,1,"left",-6.15462954587912,-1.42284050621336,"2016",3649,20163649,0.643,0.643,0.643,1,1,"1",11
"59",0,1,1,1,1,1,1,0,2,0,1,2,1,1,1,1,36,1,7,0,0,1,"1",1,"6",0,2,1,0,1,0,0,0,1,0,0,1,0,0,1,1296,0.483584867801517,0.635632961470634,0,"moderate",4.26317670453621,0.635632961470634,"2008",1118,20081118,1.2306,1.2306,1.2306,1,1,"2",11
"60",1,1,1,1,1,0,0,0,2,0,0,2,1,0,1,0,45,0,7,1,1,1,"7",4,"47",1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,2025,0.48036132017595,1.77208998725377,1,"right",10.0147150616725,1.77208998725377,"2016",3650,20163650,0.842,0.842,0.842,1,1,"2",9
"61",1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,20,0,8,1,0,1,"6",3,"39",1,2,0,0,0,0,1,0,1,0,0,1,0,1,1,400,0.388784675446,0.152829234402058,0,"moderate",1.81973705639838,0.152829234402058,"2016",3652,20163652,1.523,1.523,1.523,1,1,"3",8
"64",0,1,1,1,1,1,1,0,1,1,0,2,1,0,1,1,65,0,6,1,1,1,"4",4,"42",0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,4225,0.537263324235975,1.4401691060731,1,"left",-6.24232851249872,-1.4401691060731,"2016",3655,20163655,0.423,0.423,0.423,1,1,"3",10
"65",1,1,1,0,1,1,0,0,2,0,0,2,0,1,0,0,51,1,7,1,1,0,"1",1,"6",0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,2601,0.478522185401811,0.578742557845123,0,"moderate",-1.88270230439411,-0.578742557845123,"2016",3656,20163656,0.692,0.692,0.692,1,1,"3",9
"67",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,61,0,1,1,1,1,"6",2,"34",1,2,1,0,1,0,0,0,1,0,1,0,0,1,1,3721,0.514182668345217,1.58313000832362,1,"right",9.05840035542005,1.58313000832362,"2016",3658,20163658,0.772,0.772,0.772,1,1,"4",10
"68",0,1,1,1,0,2,1,0,1,0,1,1,1,1,0,0,51,0,1,0,1,1,"5",4,"12",0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2601,0.495999676875323,0.384980293173197,0,"moderate",2.99463913265764,0.384980293173197,"2016",3659,20163659,2.155,2.155,2.155,1,1,"4",9
"69",1,1,1,1,1,0,0,0,2,0,0,2,1,1,0,1,71,0,5,1,1,1,"6",3,"6",1,2,1,0,1,0,1,0,1,0,0,1,0,1,1,5041,0.386254068045231,0.502281823309909,0,"moderate",3.58829488437176,0.502281823309909,"2016",3661,20163661,1.281,1.281,1.281,1,1,"4",9
"70",0,1,1,0,1,2,1,0,1,0,0,1,1,1,0,0,24,1,1,0,1,0,"7",4,"37",1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,576,0.390615862122558,0.0756525444365481,0,"moderate",0.663404977768817,-0.0756525444365481,"2008",1119,20081119,2.577,2.577,2.577,1,1,"2",8
"71",1,1,1,1,1,0,1,0,2,0,0,2,0,0,0,0,37,1,1,0,1,1,"4",1,"6",0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1369,0.52483420192389,0.178300139912812,0,"moderate",1.94864372573341,0.178300139912812,"2016",3663,20163663,0.415,0.415,0.415,1,1,"4",10
"73",1,1,1,0,1,1,1,0,2,0,0,1,1,1,0,0,43,0,1,1,1,1,"1",1,"37",1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1849,0.483948835226147,0.434785859384346,0,"moderate",-1.15414640286909,-0.434785859384346,"2016",3666,20163666,0.632,0.632,0.632,1,1,"2",9
"76",1,1,1,1,1,0,1,0,2,0,0,1,0,0,0,1,25,0,1,0,0,1,"6",4,"12",0,2,1,0,1,0,0,0,1,0,0,1,0,1,1,625,0.546054677745148,2.58141932535932,1,"right",14.1106805280853,2.58141932535932,"2016",3670,20163670,0.806,0.806,0.806,1,1,"2",9
"77",0,1,1,1,0,2,1,0,1,1,0,2,0,1,0,0,45,0,6,1,0,0,"7",2,"17",0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,2025,0.49765907703883,0.561460627117341,0,"moderate",3.8877951314606,0.561460627117341,"2016",3671,20163671,0.669,0.669,0.669,1,1,"1",10
"78",0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,48,0,1,0,1,1,"1",5,"48",0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,2304,0.496818391909719,1.3429800061288,1,"left",-5.75046051965491,-1.3429800061288,"2016",3672,20163672,0.822,0.822,0.822,1,1,"3",10
"79",1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,55,0,1,1,1,0,"6",5,"26",1,2,1,0,0,0,1,0,1,0,1,0,0,1,1,3025,0.457271624870937,0.801435052930105,0,"moderate",-3.00973517785015,-0.801435052930105,"2016",3673,20163673,0.459,0.459,0.459,1,1,"3",8
"80",0,1,1,1,0,2,1,1,1,1,1,1,0,1,0,0,22,0,8,0,1,1,"1",1,"26",0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,484,0.739194344624952,0.209207102059344,0,"moderate",-0.0125063356471571,-0.209207102059344,"2016",3674,20163674,0.377,0.377,0.377,1,1,"2",11
"81",1,1,1,1,1,0,0,0,2,0,0,2,0,0,0,1,33,0,1,1,1,1,"3",4,"27",0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1089,0.591013685214211,1.12099605155345,0,"moderate",-4.62701352567014,-1.12099605155345,"2008",1120,20081120,1.1636,1.1636,1.1636,1,1,"2",9
"83",1,1,1,1,1,0,0,0,2,0,0,2,1,1,0,1,51,0,1,1,0,1,"4",2,"48",0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,2601,0.287656840967954,0.535490972511497,0,"moderate",3.75636432396115,0.535490972511497,"2016",3676,20163676,1.251,1.251,1.251,1,1,"3",9
"84",0,1,1,0,0,3,1,1,2,0,0,2,0,1,0,1,59,0,5,1,0,0,"1",3,"29",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3481,0.439444604454066,0.824301417799243,0,"moderate",5.21801603302549,0.824301417799243,"2016",3677,20163677,1.926,1.926,1.926,1,1,"1",11
"87",0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,62,0,1,1,1,1,"3",2,"36",1,2,1,0,1,0,0,0,1,0,1,0,0,1,0,3844,0.55314209515252,2.11583347732501,1,"left",-9.66182389124204,-2.11583347732501,"2016",3680,20163680,0.787,0.787,0.787,1,1,"1",9
"89",0,1,1,1,1,1,1,0,2,0,0,2,1,1,0,1,53,0,6,1,1,1,"4",5,"36",0,2,0,0,1,0,1,0,0,0,0,1,0,1,0,2809,0.548857814383483,2.20075735883671,1,"left",-10.0916183760927,-2.20075735883671,"2016",3682,20163682,0.957,0.957,0.957,1,1,"2",10
"90",0,1,1,1,1,1,1,0,1,1,0,2,1,1,0,0,52,0,6,0,0,1,"5",4,"15",0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,2704,0.571666768368885,0.31415465051385,0,"moderate",-0.543639354080094,-0.31415465051385,"2016",3684,20163684,0.793,0.793,0.793,1,1,"4",10
"91",0,0,1,1,0,3,1,0,1,1,1,2,1,1,1,1,32,0,1,1,0,1,"3",2,"19",1,2,1,0,1,0,0,0,1,0,1,0,0,1,0,1024,0.373350560039758,0.0517229502087613,0,"moderate",1.30804443759078,0.0517229502087613,"2016",3686,20163686,0.464,0.464,0.464,1,1,"3",11
"92",0,1,1,1,1,1,1,0,2,0,0,2,1,1,0,1,62,0,1,1,1,1,"1",3,"17",0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,3844,0.632365747123723,0.596142538339006,0,"moderate",4.0633181280761,0.596142538339006,"2008",1121,20081121,1.9704,1.9704,1.9704,1,1,"2",10
"93",1,1,1,1,1,0,0,0,2,0,0,2,0,1,1,1,57,0,7,0,1,1,"1",1,"17",0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3249,0.622664106922961,1.41597910505678,1,"right",8.21246002529031,1.41597910505678,"2016",3687,20163687,1.448,1.448,1.448,1,1,"3",9
"94",1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,55,0,6,1,0,0,"1",2,"21",0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,3025,0.39268076970804,2.65085072490102,1,"right",14.4620685248101,2.65085072490102,"2016",3688,20163688,0.601,0.601,0.601,1,1,"4",8
"95",1,1,1,1,0,1,1,1,2,0,0,2,1,1,0,0,49,0,1,1,1,1,"4",4,"44",1,2,1,0,0,0,1,0,1,0,1,0,0,1,0,2401,0.496839258578455,1.27973305379416,0,"moderate",-5.43037162577529,-1.27973305379416,"2016",3689,20163689,0.801,0.801,0.801,1,1,"4",11
"96",1,1,1,1,1,0,0,0,2,0,0,2,1,1,1,0,60,0,5,1,1,1,"3",2,"37",1,2,1,1,0,0,1,0,1,0,0,1,0,1,0,3600,0.54084036087618,0.711329675100389,0,"moderate",-2.55371746225307,-0.711329675100389,"2016",3690,20163690,0.608,0.608,0.608,1,1,"4",9
"97",0,1,1,1,1,1,0,0,1,0,1,2,1,1,1,1,82,0,5,1,1,1,"5",4,"13",1,2,0,0,0,0,1,0,1,0,0,1,0,1,0,6724,0.418020306060456,0.0974465784261541,0,"moderate",1.53944887748903,0.0974465784261541,"2016",3691,20163691,2.685,2.685,2.685,1,1,"4",9
"98",0,1,1,1,1,1,1,0,1,0,0,2,1,0,1,0,47,0,1,1,1,1,"5",5,"34",0,2,1,0,1,0,0,0,1,0,0,1,0,1,0,2209,0.595542318623844,0.961288472304011,0,"moderate",-3.81874339566187,-0.961288472304011,"2016",3692,20163692,1.782,1.782,1.782,1,1,"3",9
"99",0,1,1,0,0,3,1,0,1,1,1,1,0,1,1,1,62,0,5,1,0,0,"6",4,"37",0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,3844,0.408191622606077,0.299746369979807,0,"moderate",-0.470719942019773,-0.299746369979807,"2016",3693,20163693,0.369,0.369,0.369,1,1,"2",10
"101",0,1,1,1,1,1,1,0,2,0,0,1,0,1,0,1,67,1,5,1,0,1,"7",2,"6",0,2,0,0,1,1,0,0,1,0,1,0,0,1,1,4489,0.404587743808196,0.237618886403791,0,"moderate",-0.156296609933301,-0.237618886403791,"2016",3695,20163695,0.785,0.785,0.785,1,1,"2",9
"102",1,0,1,0,0,3,1,1,2,0,1,1,0,0,0,1,23,0,4,0,0,1,"2",5,"35",0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,529,0.372148780023892,0.716770389682735,0,"moderate",-2.58125258052033,-0.716770389682735,"2016",3696,20163696,3.093,3.093,3.093,1,1,"4",11
"103",0,1,1,1,1,1,1,0,2,0,0,2,0,1,1,0,73,0,5,1,1,1,"2",3,"6",1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,5329,0.483019906307717,0.651648347056352,0,"moderate",-2.2516739712433,-0.651648347056352,"2008",1122,20081122,1.2306,1.2306,1.2306,1,1,"3",10
"104",1,1,1,1,1,0,0,0,2,0,0,2,0,1,0,0,73,1,7,0,1,0,"1",2,"12",0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,5329,0.463859437410792,0.686913233796367,0,"moderate",4.52270297482576,0.686913233796367,"2016",3697,20163697,0.725,0.725,0.725,1,1,"1",9
"105",1,1,1,1,1,0,1,0,1,1,0,2,1,0,0,0,60,0,4,0,0,0,"1",2,"24",0,2,0,1,0,1,0,0,0,0,0,1,0,1,1,3600,0.569363141455368,1.99123313524949,1,"right",11.1237849101629,1.99123313524949,"2016",3700,20163700,0.915,0.915,0.915,1,1,"1",10
"108",1,1,1,1,1,0,1,0,1,1,1,2,0,0,0,1,39,1,4,1,0,1,"1",5,"32",0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1521,0.458436391672287,0.864682458552919,0,"moderate",5.42238196990358,0.864682458552919,"2016",3704,20163704,3.827,3.827,3.827,1,1,"2",11
"109",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,67,0,6,0,1,0,"1",2,"6",0,2,1,1,0,0,0,0,1,0,0,1,0,1,1,4489,0.500544232088469,0.746180925024698,0,"moderate",4.82265307562588,0.746180925024698,"2016",3705,20163705,0.435,0.435,0.435,1,1,"3",10
"110",0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,75,0,5,1,1,1,"1",2,"42",0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,5625,0.526566316531005,1.03627856945958,0,"moderate",-4.19826361544178,-1.03627856945958,"2016",3706,20163706,1.054,1.054,1.054,1,1,"2",10
"112",1,1,1,1,1,0,1,0,2,0,0,1,1,1,1,1,35,0,1,0,1,1,"7",4,"48",1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1225,0.46815323170565,0.743611589911252,0,"moderate",4.8096498303451,0.743611589911252,"2016",3709,20163709,1.451,1.451,1.451,1,1,"1",9
"113",0,1,1,1,1,1,1,0,2,0,1,2,1,1,0,0,72,0,5,1,1,1,"1",2,"21",1,2,1,0,0,0,1,0,1,0,0,1,0,1,1,5184,0.620703847759754,1.285300446257,0,"moderate",-5.45854785292052,-1.285300446257,"2016",3710,20163710,1.803,1.803,1.803,1,1,"3",11
"114",0,1,1,1,1,1,0,0,2,1,0,2,0,1,1,1,57,0,1,1,1,0,"7",3,"47",1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,3249,0.500784374567616,0.674819851868274,0,"moderate",-2.36894351658885,-0.674819851868274,"2008",112,20080112,0.4322,0.4322,0.4322,1,1,"4",10
"117",0,1,1,1,1,1,1,0,1,1,1,2,1,1,0,0,22,1,1,1,0,1,"1",2,"48",0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,484,0.596534731919205,1.71617546842032,1,"left",-7.63917955379508,-1.71617546842032,"2016",3712,20163712,1.605,1.605,1.605,1,1,"4",11
"118",1,1,1,1,1,0,1,0,2,0,0,2,1,1,0,0,71,0,1,1,0,1,"1",1,"12",1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,5041,0.435944101152352,0.430307901250744,0,"moderate",3.22403933924759,0.430307901250744,"2016",3713,20163713,0.852,0.852,0.852,1,1,"4",10
"119",1,1,1,1,1,0,0,0,1,0,0,2,1,1,0,0,79,0,5,1,0,1,"2",1,"36",0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,6241,0.432828431222924,1.12475851910324,0,"moderate",6.73861074414809,1.12475851910324,"2016",3714,20163714,0.349,0.349,0.349,1,1,"1",8
"120",1,1,1,0,0,2,1,0,1,0,0,1,1,1,1,1,57,0,1,1,1,1,"1",2,"47",1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,3249,0.454503356877825,0.346311070560915,0,"moderate",-0.706380996863671,-0.346311070560915,"2016",3716,20163716,0.763,0.763,0.763,1,1,"2",8
