"","tried_influence","attend_rally","work_party","wear_button","give_money_party","campaign_participation","discuss","give_money_campaign","volunteer","community_work","community_meeting","vote_in_primary","trust_others","satisfied_life","understand_issues","too_complicated","age","hisp","empl","own_home","married","class_conscious","PARTY_ID","better_off_econ1","STATEFIPS","money_stocks","born_again","college","black","female","inc_firstthird","inc_upperthird","lgbt","middleclass","jewish","catholic","protestant","nonreligious","knowl","str_PARTY","agesq","Consistency","Extremity","ideo_ext","ideo_label","ideo_score","Position","year","respondent","unique_id","wt1","wt2","wt3","complete_pre","complete_post","census_region","Action_Score"
"9184",0,1,1,1,1,1,1,0,1,0,0,2,1,0,0,0,32,0,1,1,1,1,"4",3,"17",1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1024,0.473660998181996,0.137676251763674,0,"moderate",1.74304875328404,0.137676251763674,"2016",588,20160588,0.795,0.795,0.795,1,1,"3",9
"9185",1,1,1,1,1,0,0,0,1,0,0,2,1,1,1,0,41,0,1,0,0,1,"1",5,"37",0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1681,0.409616628064916,0.22045711985628,0,"moderate",2.16199758044587,0.22045711985628,"2008",902,20080902,0.3142,0.3142,0.3142,1,1,"3",8
"9186",1,1,1,1,1,0,1,0,1,0,0,2,1,1,0,0,72,1,5,0,0,1,"1",5,"6",0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,5184,0.580684623381881,0.779893368727101,0,"moderate",4.99326965739549,0.779893368727101,"2016",589,20160589,0.816,0.816,0.816,1,1,"3",9
"9187",1,1,1,1,1,0,1,0,1,0,0,2,1,1,1,1,73,1,5,1,1,1,"4",4,"48",1,2,1,0,0,1,0,0,1,0,1,0,0,1,0,5329,0.454948336806134,1.42061079452672,1,"right",8.23590071775851,1.42061079452672,"2016",590,20160590,1.053,1.053,1.053,1,1,"2",9
"9188",0,1,1,1,0,2,1,1,2,0,0,2,1,1,0,0,82,1,5,0,1,1,"3",2,"12",0,2,0,0,1,1,0,0,1,0,1,0,0,1,0,6724,0.425603489147188,0.852923474435863,0,"moderate",-3.27031487819975,-0.852923474435863,"2016",591,20160591,1.071,1.071,1.071,1,1,"2",11
"9189",0,1,0,0,0,4,1,1,1,1,1,2,1,1,0,0,69,0,5,1,0,1,"1",2,"12",1,2,1,0,0,1,0,0,1,0,0,1,0,1,1,4761,0.491966742744573,1.55880297239262,1,"left",-6.84272713480645,-1.55880297239262,"2016",592,20160592,1.899,1.899,1.899,1,1,"3",12
"9190",0,1,1,1,1,1,1,0,2,1,0,2,0,0,0,0,28,1,1,1,1,1,"1",5,"12",0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,784,0.333845725534555,2.09013516139255,1,"right",11.6243219160107,2.09013516139255,"2016",593,20160593,0.879,0.879,0.879,1,1,"4",11
"9191",1,1,1,0,1,1,0,0,2,0,1,2,1,1,1,0,29,0,1,1,1,1,"6",2,"19",0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,841,0.383131820735316,0.664597398445817,0,"moderate",-2.31720831531911,-0.664597398445817,"2016",595,20160595,0.707,0.707,0.707,1,1,"3",10
"9192",0,0,1,0,0,4,0,1,1,1,1,2,1,1,1,0,75,0,5,1,0,1,"3",2,"27",1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,5625,0.469127649219392,0.596997619755305,0,"moderate",-1.97509003785544,-0.596997619755305,"2016",596,20160596,1.032,1.032,1.032,1,1,"3",11
"9194",0,0,1,1,1,2,1,0,1,1,1,2,0,1,1,0,66,1,1,0,0,1,"1",5,"48",0,2,0,0,1,1,0,0,0,0,1,0,0,1,1,4356,0.563914290210523,0.568657793914347,0,"moderate",-1.83166394108199,-0.568657793914347,"2016",598,20160598,2.967,2.967,2.967,1,1,"4",11
"9196",1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,38,0,2,1,1,0,"7",4,"25",1,2,1,0,0,0,1,0,1,0,0,1,0,1,1,1444,0.37478204222435,1.84552135880582,1,"right",10.3863466680747,1.84552135880582,"2008",903,20080903,0.2665,0.2665,0.2665,1,1,"3",9
"9197",0,0,1,1,1,2,1,0,1,0,0,2,1,1,1,1,43,0,1,1,1,1,"6",3,"47",0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1849,0.435274741390132,0.687246652794708,0,"moderate",4.52439038764864,0.687246652794708,"2016",601,20160601,0.288,0.288,0.288,1,1,"2",9
"9198",1,1,1,1,1,0,1,0,2,0,0,2,1,1,0,0,42,0,1,0,1,1,"7",2,"46",1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,1764,0.574949649489358,0.833629524718236,0,"moderate",-3.17266939812969,-0.833629524718236,"2016",602,20160602,0.553,0.553,0.553,1,1,"2",10
